Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,Om,dOm,N,dN,L,dL,nwav,dnwav,h,dh,visc,dvisc
Alexandrium minutum,21.7,2.2,-,-,222.5,181.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alexandrium ostenfeldii,41.1,4.5,-,-,110.5,73.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alexandrium tamarense,26.7,2.6,-,-,200,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amphidinium britannicum,51.2,7,36.3,4.6,68.7,54.6,-,-,-,-,-,-,-,-,2,-,51.2,7,-,-,-,-,-,-
Amphidinium carterae,16,6,10.5,2.5,81.55,67.45,-,-,-,-,-,-,-,-,-,-,7.64,-,-,-,-,-,-,-
Amphidinium klebsi,35,15,22,8,73.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Apedinella spinifera,8.25,1.75,-,-,132.5,42.5,-,-,-,-,-,-,-,-,-,-,13.25,6.75,-,-,-,-,-,-
Bodo designis,5.5,1.5,3,1,39,1,-,-,-,-,-,-,-,-,2,-,9,5,-,-,-,-,-,-
Brachiomonas submarina,27.5,12.5,-,-,96,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cachonina niei,21.44,-,13.36,-,302.8,252.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cafeteria roenbergensis,2,0.5,1.25,0.25,94.9,36.9,-,-,-,-,-,-,-,-,2,-,6,4,-,-,-,-,-,-
Ceratium cornutum,122.25,7.75,63.85,13.15,177.75,52.75,-,-,50,-,-,-,0.585,0.085,-,-,-,-,-,-,-,-,-,-
Ceratium furca,122.5,87.5,27.5,-,194,28,29.425,8.25,-,-,-,-,-,-,2,-,57.3375,3.1625,1.5,-,5.87125,1.00375,-,-
Ceratium fusus,307.5,292.5,22.5,7.5,156.25,93.75,-,-,-,-,-,-,-,-,2,-,200,-,-,-,-,-,-,-
