Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,N,dN,L,dL,kappa,dkappa,d,dd,visc,dvisc
Amphileptus gigas,808,-,136,-,608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amphorides quadrilineata,138,-,47,-,490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balanion comatum,16,-,7.74,3.61,220,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Balantidium entozoon,95.25,10.75,49.43,6.17,-,-,5.075,1.245,-,-,-,-,-,-,4.215,0.505,-,-,-,-,-,-
Blepharisma,350,-,120,-,600,-,-,-,-,-,-,-,7000,-,7.5,-,0.1,-,-,-,-,-
Cepedea sp.,333,-,148.5,-,-,-,37,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-
Coleps hirtus,94.5,28.5,51.45,21.45,686,-,-,-,-,-,-,-,-,-,24.7,-,-,-,10,-,-,-
Coleps sp.,78,-,35,-,523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colpidium campylum,85.4,-,42.5,-,-,-,10.035,1.365,-,-,-,-,-,-,8.16,-,-,-,2.45,-,-,-
Colpidium sp.,79.1,-,38.6,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colpidium striatum,77,4,35.4,2.2,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colpoda sp.,117.7,-,64.96,-,-,-,9.315,1.385,-,-,-,-,-,-,10.7,-,-,-,3.57,-,-,-
Condylostoma patens,371,-,102,-,1061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didinium nasutum,140,60,83.5,23.5,1732,1268,17,-,-,-,-,-,1750,-,12.5,-,0.2,-,-,-,-,-
Epistylis sp.,36.3,4.1,29.5,1.2,-,-,-,-,11.75,0.75,-,-,-,-,-,-,-,-,-,-,-,-
Euplotes charon,66,17,51.5,17.5,1053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Euplotes patella,202,59,123.5,32.5,1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Euplotes vannus,82,11,37.5,16.5,446,130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eutintinnus cf. pinguis,147,-,24,-,410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fabrea salina,184.1,-,120.8,-,216,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Favella panamensis,238,-,94,-,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Favella sp.,150,-,65,-,1080,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Frontonia sp.,378.5,96.5,213,72,1632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Halteria grandinella,39.7,20.3,50,-,533,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kerona polyporum,107,-,64,-,476.5,11.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Koruga sp.,350,50,250,50,-,-,31,9,-,-,-,-,-,-,25,5,-,-,-,-,-,-
Laboea strobila,100,-,49,-,810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
