Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,Om,dOm,c,dc,N,dN,L,dL,nwav,dnwav,h,dh,visc,dvisc
Agrobacterium sanguineum,-,-,-,-,25.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alphaproteobacterium AB015520,-,-,-,-,17.25,4.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Alteromonas macleodii,4.5,2.5,0.4,-,19,2.9,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Arthrobacter histidinolovorans,-,-,0.26,-,23.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Azospirillum brasilense,2.61,-,0.9,-,18,5,1.005,0.355,-,-,-,-,-,-,23,-,4.15,1.05,5,1,0.095,0.035,-,-
Azospirillum lipoferum,2.24,0.32,1.4,0.3,26.9,2.7,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Azotobacter vinelandii,4,1,2.05,0.45,32.1,29.7,2.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,0.495,0.095,-,-
Bacillus licheniformis,2.25,0.75,0.7,0.1,21.4,-,2.4,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bacillus megaterium,3.5,1.5,1.35,0.15,34.7,12.5,3.389,0.166,-,-,-,-,-,-,31,5,-,-,2.5,-,0.495,0.035,2.93,1.77
Bacillus subtilis,3,1,0.75,0.05,26,6,2.186,0.103,-,-,-,-,-,-,12,-,7.5,-,-,-,-,-,-,-
Bdellovibrio bacteriovorus,1.48,-,0.58,-,97.5,62.5,0.565,-,600,-,-,-,339,-,1,-,4,0.5,1,-,0.23,-,-,-
Bradyrhizobium japonicum,1.68,0.06,0.675,0.055,30.4,5.7,1.88,1.22,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Campylobacter jejuni (spiral shaped),2.75,2.25,0.35,0.15,64.8,14.9,1.585,0.045,-,-,-,-,-,-,1.5,0.5,8,7,-,-,0.36,0.02,1,-
Candidatus Ovobacter propellens,4.5,0.5,-,-,800,200,-,-,150,50,75,25,-,-,400,-,-,-,-,-,-,-,-,-
Caulobacter crescentus,1.6,-,0.5,0.1,41.3,7.3,1.08,-,310,47,-,-,334.8,50.76,1,-,5.95,0.65,-,-,0.13,-,1,-
Chromatium okenii,12,4,5.25,0.75,45.9,-,-,-,-,-,-,-,-,-,40,-,25,-,-,-,-,-,-,-
Clostridium tetani,6,-,0.5,-,6,5.2,1.8,-,-,-,-,-,-,-,15,-,-,-,4,-,0.42,-,-,-
Colwellia demingiae,3,1.5,0.43,0.17,21.75,4.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Escherichia coli,2.5,0.6,0.88,0.09,24.1,10,2.366,0.121,131,31,23,8,309.95,75.04,6,-,7.6,2.7,2,-,0.38,-,0.93,-
Flavobacterium uliginosum,-,-,0.225,0.035,22.45,9.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haererehalobacter ostenderis,-,-,-,-,15.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Halomonas meridiana,3.2,1.3,0.67,0.33,14.1,-,-,-,-,-,-,-,-,-,1.5,0.5,-,-,-,-,-,-,-,-
Helicobacter pylori (spiral shaped),3.75,1.25,0.75,0.25,25,4.3,2.1,-,-,-,-,-,-,-,5,1,3.2,-,-,-,0.28,-,-,-
Listeria monocytogenes,1.5,0.5,-,-,0.113,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Macromonas bipunctata,10,2,4,1,10,-,-,-,-,-,-,-,-,-,1,-,12.5,2.5,-,-,-,-,-,-
Macromonas mobilis,21,9,11,3,13.3,-,-,-,-,-,-,-,-,-,1,-,30,10,-,-,-,-,-,-
Magnetococcus marinus MO-1,1.85,0.4,1.33,0.19,98.9,39.5,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-
Magnetospirillum gryphiswaldense,3.65,1.5,0.415,0.075,30,15,0.35,-,-,-,-,-,-,-,2,-,2.4,-,-,-,0.02,-,-,-
Marine bacterium TW-3 (AY028198),1.2,-,-,-,44,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marinobacter sp.,-,-,0.26,-,18.65,0.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marinocaulobacter sp.,-,-,-,-,12.95,1.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marinomonas vaga,-,-,0.375,0.035,22.9,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marinoscillum furvescens,30,20,0.35,0.15,32,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Myxococcus xanthus,6,2,0.75,0.05,0.045,0.015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Photobacterium phosphoreum,1.2,-,-,-,-,-,3.1,-,-,-,-,-,-,-,1,-,-,-,2.5,-,0.37,-,-,-
Photobacterium profundum,2.94,-,1.76,-,27,1.2,2.22,-,-,-,-,-,-,-,1,-,9,-,3.25,-,0.39,-,-,-
Polaribacter irgensii,24.4,23.6,0.375,0.125,24.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pseudoalteromonas citrea,3,1.5,0.955,0.545,32.2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Pseudoalteromonas spp.,2.4,0.6,0.845,0.655,32.633,4.245,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Pseudoalteromonas tetraodonis,2.4,-,0.67,0.33,34.7,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Pseudomonas aeruginosa,1.5,-,0.5,-,51.3,8.4,1.53,0.086,-,-,-,-,-,-,1,-,4.84,-,2.5,-,0.26,-,-,-
Pseudomonas azotoformans,-,-,0.19,-,18.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pseudomonas fluorescens,3.1,0.8,0.9,0.1,77.6,-,1.76,-,-,-,2.4,-,-,-,1.5,1.1,8.4,1.3,2.5,-,0.39,-,-,-
Pseudomonas putida,1.94,0.06,0.935,0.065,51.25,23.75,3.14,-,-,-,-,-,-,-,6,1,5.71,0.19,1.5,0.5,0.73,-,-,-
Rhizobium lupini,-,-,-,-,52.4,-,2.28,-,-,-,-,-,-,-,2.5,0.5,-,-,2.5,0.5,0.6,-,-,-
Rhodobacter sphaeroides,2.96,0.04,1.835,0.365,15.45,6.9,2.2,-,-,-,2.7,1.6,-,-,1,-,9.95,-,3,-,0.7,-,-,-
Roseobacter litoralis,1.5,0.5,0.75,0.15,24.43,6.743,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
Salmonella enteditidis,3.5,1.5,1.1,0.4,35.1,4.9,2.335,0.088,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.25,0.95
Salmonella paratyphi,3.5,0.5,0.6,-,25.68,4.64,2.34,0.078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salmonella typhi,2.5,0.5,0.65,0.05,25.11,0.46,2.293,0.061,-,-,-,-,-,-,6,-,10.46,1.3,3.75,0.75,0.35,-,-,-
Salmonella typhimurium,1.4,0.3,0.625,0.125,31.7,11.9,2.35,0.091,112,-,-,-,263.2,10.192,4.9,3,5.7,-,3,-,0.18,0.03,-,-
Sarcina ureae,3,1,3,1,23.425,4.675,2.4157,0.7821,-,-,-,-,-,-,1,-,14.5,1.2,3.5,1.5,0.37,-,1.16,-
Selenomonas ruminantium,3.98,-,1.17,-,16,6,4.77,0.07,-,-,-,-,-,-,6,1.4,-,-,-,-,0.9475,0.0175,-,-
Serpens flexibilis,10,2,0.35,0.05,8.555,7.445,0.88,-,-,-,-,-,-,-,7,3,22.5,7.5,-,-,0.29,-,6.5,-
Serratia marcescens,1,-,0.5,-,38.15,4.45,1.8135,0.8855,-,-,-,-,-,-,4,-,-,-,1.5,-,0.09,-,2.93,1.77
Shewanella frigidimarina,1.75,0.75,0.495,0.305,24.23,3.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shewanella pealeana,2.5,0.5,0.47,0.13,26.9,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
Spirillum gracille (spiral shaped),8,3,0.34,0.09,31.05,2.95,2.75,0.75,-,-,-,-,-,-,-,-,2.925,1.375,-,-,0.29,0.05,1.5,0.5
Spirillum serpens (spiral shaped),19.085,16.085,1.67,0.67,41.4,18.6,7.85,5.15,-,-,-,-,-,-,25,5,11.43,-,1,-,0.96,0.41,1.58,0.42
Spirillum volutans (spiral shaped),21.74,8.4,1.735,0.765,63.275,21.775,9.69,3.19,40,-,13,-,387.6,-,123,77,15.115,2.685,1.1,-,4.345,1.635,-,-
Streptococcus,3.155,0.115,1.315,0.045,16.8,3.7,3.514,-,88.5,22.16,6.7,2.4,310.96,77.86,3.5,0.2,-,-,-,-,0.69,-,1,-
Synechococcus,2,-,1,-,15,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Thiospirillum jenese,65,35,3.25,0.75,52.625,33.875,-,-,-,-,-,-,-,-,60,-,11,1,-,-,-,-,1.16,-
Thiovulum majus,7,3,7,3,375,225,-,-,41.5,21.5,6.6,3.4,-,-,100,-,2.3,-,-,-,-,-,-,-
Vibrio alginolyticus,1.92,0.46,0.8,0.49,112,35,1.58,0.14,1175,485,-,-,1856.5,783.76,-,-,5.02,1.15,2.76,-,0.14,0.02,-,-
Vibrio anguillarum,2.14,1.14,0.75,0.25,32.5,7.5,2.73,-,-,-,-,-,-,-,1,-,4.5,-,1,-,0.3,-,-,-
Vibrio campbelli,-,-,-,-,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vibrio cholerae,2.4,1,0.625,0.175,64.6,11.2,2.43,-,-,-,-,-,-,-,1,-,-,-,1,-,0.245,0.075,-,-
Vibrio comma,2.7,1.3,0.65,0.15,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vibrio parahaemolyticus,2.19,0.19,0.845,0.025,37.5,22.5,1.16,-,-,-,-,-,-,-,1,-,3.765,1.935,-,-,0.15,-,-,-
Vibrio splendidus,-,-,0.26,-,19.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
