Species,B,dB,W,dW,U,dU,lambda_B,dlambda_B,f,df,c,dc,N,dN,L,dL,nwav,dnwav,h_B,dh_B,visc,dvisc
Borrelia burgdorferi,17,13,0.265,0.065,5.725,1.475,3.095,0.265,10.2,-,34.24,-,9,2,17,13,6.5,3.5,0.595,0.205,1,-
Brachyspira hyodysenteriae,-,-,-,-,40,4,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.03,-,-
Brachyspira pilosicoli,5.36,-,0.24,-,5.9,1.7,2.2,-,8.83,3.35,19.426,7.37,-,-,5.36,-,-,-,0.32,-,-,-
Cristispira balbianii,51.25,28.75,1.325,0.675,-,-,6,-,-,-,-,-,100,-,51.25,28.75,3.25,0.25,1.52,-,-,-
Cristispira sp.,45,-,1.4,-,76,-,13.95,0.25,175,125,579.5,104.5,100,-,45,-,3.2,-,1.68,-,-,-
Leptospira biflexa,14,-,0.145,0.005,14.2,2.9,0.7,-,135.6,22.8,94.92,15.96,1,-,14,-,-,-,0.09,-,0.86,-
Leptospira icterohemorrhagiae,7,3,0.17,0.1,-,-,0.45,0.15,-,-,-,-,1,-,7,3,-,-,0.35,0.1,-,-
Leptospira illini,15,5,0.12,-,-,-,0.69,0.04,-,-,-,-,-,-,15,5,-,-,0.12,0.025,-,-
Leptospira interrogans,10.1,1,0.151,0.012,30,-,0.366,0.026,-,-,-,-,1,-,11.1,-,25,-,0.0725,0.0125,300,-
Leptospira sp.,10,5,0.15,0.05,22.55,7.25,-,-,-,-,-,-,1,-,10,5,-,-,-,-,266.72,263.28
Spirochaeta aurantia,27.5,22.5,0.3,-,21,5,2.5,-,-,-,-,-,-,-,27.5,22.5,-,-,-,-,1,-
Spirochaeta halophila,22.5,7.5,0.4,-,14,2,1.5,-,-,-,-,-,-,-,22.5,7.5,-,-,-,-,1.5,0.5
Spirochaeta litoralis,9.25,3.75,0.45,0.05,10.9,-,8.95,0.75,154,146,102.75,33.75,2.5,0.5,9.25,3.75,1.79,0.72,1.145,0.305,-,-
Spiroplasma citri,6,-,0.195,0.035,0.88,0.21,0.955,0.015,-,-,-,-,-,-,-,-,4.1,-,0.209,0.029,-,-
Spiroplasma melliferum,5.4425,1.8425,0.175,0.025,2.5,1,0.755,0.115,-,-,24.315,10.875,-,-,-,-,5.5,0.5,0.1425,0.0425,1.147,-
Treponema denticola,7.7,0.94,0.2,0.02,14.06,14.04,1.23,0.15,-,-,-,-,8,-,7.7,0.94,-,-,0.5,0.05,93.6,88.57
Treponema pallidum,21.055,2.595,0.59,-,1.9,0.2,1.56,0.04,-,-,-,-,3,1,21.055,2.595,9,1,0.28,0.01,1,-
Treponema primitia,32.31,-,0.35,-,12,-,2.5,-,16.67,-,41.675,-,2,-,32.31,-,2,-,0.6,-,1,-
Treponema socranskii,10.5,4.5,0.17,0.01,0.425,0.355,-,-,-,-,-,-,4,-,10.5,4.5,-,-,-,-,45.05,42.95
Treponema vincentii,10.5,5.5,0.225,0.025,0.505,0.445,1.3,-,-,-,-,-,-,-,10.5,5.5,-,-,0.15,0.05,45.05,42.95
